Feature,Importance
sentiment_polarity,0.11685198
appVersion_enc,0.021833198
mending,0.014835122
ganti,0.012829296
pindah,0.010937781
thumbsUp_scaled,0.010392935
buruk,0.010204912
hapus,0.010024693
ya,0.009725076
tingkat,0.009576281
sampah,0.009402069
indihome,0.009025957
my telkomsel,0.008650313
game,0.008581878
indosat,0.007903097
muas,0.00757138
min,0.00738465
murah,0.007179627
promo,0.0068080905
down,0.0067087337
lumayan,0.006282889
kadang,0.006134074
henti,0.006099923
telkomsel,0.0058390466
terlalu mahal,0.0058364943
terima kasih,0.0058331126
aplikasi,0.005751364
uninstall,0.0055432147
minimal,0.0054880898
jelek,0.0054728664
bug,0.0051402617
gajelas,0.005119683
mahal jaring,0.005112053
tolol,0.005032428
xl,0.0050215367
gabisa buka,0.004963823
mohon,0.004862973
buka,0.004787883
paket,0.0047471314
bgus,0.0047413604
hadiah,0.0042543393
terlalu,0.004153391
doang,0.004099974
busuk,0.0040950016
terimakasih,0.004083924
kak,0.0039846688
lihat,0.003951259
nya,0.003915856
knp,0.0038602178
ga,0.0037886142
sayang,0.0037286973
parah,0.0037286119
terkadang,0.0037002857
jangkau,0.0036867748
dong,0.0036603296
elit,0.0036329485
kuat,0.0036156038
moga,0.003585947
sedikit,0.0035853696
banyak bug,0.0035704048
jaring,0.003541615
rusak,0.003540619
mahal doang,0.0034615975
burik,0.0034291751
good,0.0034086287
makasih,0.0033740366
aplikasi apa,0.0033323213
mytelkomsel,0.0032966223
aja,0.0032761472
buka aplikasi,0.0032384717
apk,0.0031964227
vas,0.0031196175
malah,0.0031069159
yaa,0.0031043105
bantu,0.0031000013
normal,0.0030759363
mahal paket,0.0030633023
gratis,0.0030348594
telah,0.0029905536
gak,0.0029864067
promonya,0.0029448706
sinyal,0.002936582
ngebug,0.002927987
stamp,0.0029184453
maaf,0.002906359
lebih,0.0028964733
cacat,0.0028807055
kalian,0.00284937
nyesel,0.0028317564
sangat,0.002829592
pulsa,0.0028116
ampas,0.0028020917
pencet,0.0027974062
mulu,0.002794572
ko,0.0027432817
kayak,0.002727259
untuk,0.0027116283
skrg,0.0027036117
jelas,0.0027010231
